Country_Code,Country_Name,Measurement,Unit of measure,Age_Group,Gender,Year,Observation_Value
AUS,Australia,Life expectancy,Years,0 years,Male,2023,81.1
AUS,Australia,Life expectancy,Years,0 years,Male,2022,81.2
AUS,Australia,Life expectancy,Years,0 years,Male,2021,81.3
AUS,Australia,Life expectancy,Years,0 years,Female,2015,84.5
AUS,Australia,Life expectancy,Years,0 years,Total,2018,82.8
AUS,Australia,Life expectancy,Years,0 years,Total,2017,82.5
AUS,Australia,Life expectancy,Years,0 years,Total,2016,82.4
AUS,Australia,Life expectancy,Years,0 years,Total,2015,82.4
AUS,Australia,Life expectancy,Years,0 years,Male,2020,81.2
AUS,Australia,Life expectancy,Years,0 years,Male,2019,80.9
AUS,Australia,Life expectancy,Years,0 years,Female,2023,85.1
AUS,Australia,Life expectancy,Years,0 years,Female,2022,85.3
AUS,Australia,Life expectancy,Years,0 years,Female,2021,85.4
AUS,Australia,Life expectancy,Years,0 years,Female,2020,85.3
AUS,Australia,Life expectancy,Years,0 years,Female,2019,85.0
AUS,Australia,Life expectancy,Years,0 years,Male,2018,80.7
AUS,Australia,Life expectancy,Years,0 years,Male,2017,80.5
AUS,Australia,Life expectancy,Years,0 years,Male,2016,80.4
AUS,Australia,Life expectancy,Years,0 years,Male,2015,80.4
AUS,Australia,Life expectancy,Years,0 years,Female,2018,84.9
AUS,Australia,Life expectancy,Years,0 years,Female,2017,84.6
AUS,Australia,Life expectancy,Years,0 years,Female,2016,84.6
AUS,Australia,Life expectancy,Years,0 years,Total,2023,83.0
AUS,Australia,Life expectancy,Years,0 years,Total,2022,83.2
AUS,Australia,Life expectancy,Years,0 years,Total,2021,83.3
AUS,Australia,Life expectancy,Years,0 years,Total,2020,83.2
AUT,Austria,Life expectancy,Years,0 years,Total,2018,81.8
AUT,Austria,Life expectancy,Years,0 years,Total,2017,81.7
AUT,Austria,Life expectancy,Years,0 years,Total,2016,81.8
AUT,Austria,Life expectancy,Years,0 years,Female,2019,84.2
AUT,Austria,Life expectancy,Years,0 years,Female,2018,84.1
AUT,Austria,Life expectancy,Years,0 years,Female,2017,84.0
AUT,Austria,Life expectancy,Years,0 years,Female,2016,84.1
AUT,Austria,Life expectancy,Years,0 years,Female,2015,83.7
AUT,Austria,Life expectancy,Years,0 years,Total,2015,81.3
AUT,Austria,Life expectancy,Years,0 years,Male,2023,79.5
AUT,Austria,Life expectancy,Years,0 years,Male,2022,79.1
AUT,Austria,Life expectancy,Years,0 years,Male,2021,78.8
AUT,Austria,Life expectancy,Years,0 years,Male,2020,78.9
AUT,Austria,Life expectancy,Years,0 years,Male,2019,79.7
AUT,Austria,Life expectancy,Years,0 years,Male,2018,79.4
AUT,Austria,Life expectancy,Years,0 years,Male,2017,79.4
AUT,Austria,Life expectancy,Years,0 years,Male,2016,79.3
AUT,Austria,Life expectancy,Years,0 years,Male,2015,78.8
AUT,Austria,Life expectancy,Years,0 years,Female,2023,84.2
AUT,Austria,Life expectancy,Years,0 years,Female,2022,83.6
AUT,Austria,Life expectancy,Years,0 years,Female,2021,83.7
AUT,Austria,Life expectancy,Years,0 years,Female,2020,83.6
AUT,Austria,Life expectancy,Years,0 years,Total,2023,81.9
AUT,Austria,Life expectancy,Years,0 years,Total,2022,81.4
AUT,Austria,Life expectancy,Years,0 years,Total,2021,81.3
AUT,Austria,Life expectancy,Years,0 years,Total,2020,81.3
BEL,Belgium,Life expectancy,Years,0 years,Total,2018,81.7
BEL,Belgium,Life expectancy,Years,0 years,Total,2017,81.6
BEL,Belgium,Life expectancy,Years,0 years,Total,2016,81.5
BEL,Belgium,Life expectancy,Years,0 years,Female,2019,84.3
